ProductID,Name,Core,RAM,SSD,Screen
1,ASUS Zenfone Max ,NULL,NULL,NULL,"HD+ 6.26"""""
2,Benco 4G G3Mẫu mới,NULL,NULL,NULL,"QQVGA 1.77"""""
3,HONOR 200 5G,NULL,NULL,NULL,"1.5K 6.7"""""
4,HONOR 90 5G 12GB/256GB,NULL,NULL,NULL,"1.5K 6.7"""""
5,HONOR X5 Plus 4GB/64GB,NULL,NULL,NULL,"HD+ 6.56"""""
6,HONOR X6a 4GB/128GB,NULL,NULL,NULL,"HD+ 6.56"""""
7,HONOR X6b,NULL,NULL,NULL,"HD+ 6.56"""""
8,HONOR X7c 8GB/256GBMẫu mới,NULL,NULL,NULL,"HD+ 6.77 """""
9,HONOR X8b 8GB/512GB,NULL,NULL,NULL,"Full HD+ 6.7"""""
10,Itel it2600,NULL,NULL,NULL,"QVGA 2"""""
11,Itel it9211,NULL,NULL,NULL,"2.4"""""
12,Itel it9310,NULL,NULL,NULL,"3"""""
13,Lenovo Gaming LOQ 15ARP9 ,R7 7435HS ,24,512,NULL
14,Lenovo Gaming LOQ 15IAX9 ,i5 12450HX ,24,512,NULL
15,Lenovo Gaming LOQ 15IAX9 ,i5 12450HX ,16,512,NULL
16,Lenovo Gaming LOQ 15IAX9 ,i5 12450HX ,24,512,NULL
17,Lenovo Gaming LOQ 15IRX9 ,i7 13650HX ,16,512,NULL
18,Lenovo Gaming Legion 5 16IRX9 ,i7 14650HX ,16,1024,NULL
19,Lenovo Gaming Legion Pro 5 16IRX9 ,i9 14900HX ,32,1024,NULL
20,Lenovo Gaming Legion Pro 5 16IRX9 ,i9 14900HX ,32,1024,NULL
21,Lenovo Gaming Legion Pro 7 16IRX9H ,i9 14900HX ,32,1024,NULL
22,Lenovo Gaming Legion Slim 5 16AHP9 ,R7 8845HS ,32,1024,NULL
23,Lenovo IdeaPad 1 15AMN7 ,R5 7520U ,8,256,NULL
24,Lenovo IdeaPad Slim 5 14IMH9 ,Ultra 7 155H ,32,1024,NULL
25,Lenovo IdeaPad Slim 5 14IMH9 ,Ultra 5 125H ,16,512,NULL
26,Lenovo Ideapad 1 15ALC7 ,R7 5700U ,16,512,NULL
27,Lenovo Ideapad Slim 3 15AMN8 ,R5 7520U ,16,512,NULL
28,Lenovo Ideapad Slim 3 15IAH8 ,i5 12450H ,16,512,NULL
29,Lenovo Ideapad Slim 3 15IRH8 ,i7 13620H ,16,1024,NULL
30,Lenovo Ideapad Slim 5 14IAH8 ,i5 12450H ,16,1024,NULL
31,Lenovo Ideapad Slim 5 14IMH9 ,Ultra 7 155H ,32,512,NULL
32,Lenovo Ideapad Slim 5 15IRU9 ,Core 5 120U ,16,512,NULL
33,Lenovo Ideapad Slim 5 16IMH9 ,Ultra 7 155H ,32,512,NULL
34,Lenovo Ideapad Slim 5 16IMH9 ,Ultra 5 125H ,16,512,NULL
35,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 10.95"""""
36,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 10.95"""""
37,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 10.95"""""
38,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 10.95"""""
39,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 9"""""
40,Lenovo Tab ,NULL,NULL,NULL,"IPS LCD 9"""""
41,Lenovo Tab Plus WiFi 8GB/256GB,NULL,NULL,NULL,"IPS LCD 11.5"""""
42,Lenovo ThinkBook 14 ,Ultra 7 155U ,16,512,NULL
43,Lenovo ThinkBook 16 G7 ,Ultra 5 125U ,16,512,NULL
44,Lenovo ThinkPad E14 Gen 6 ,Ultra 7 155U ,16,512,NULL
45,Lenovo ThinkPad T14s ,i7 1355U ,32,512,NULL
46,Lenovo Thinkpad X13 ,Ultra 7 155H ,32,1024,NULL
47,Lenovo Thinkpad X13 ,Ultra 5 125U ,16,512,NULL
48,Lenovo V14 ,Core 5 120U ,16,512,NULL
49,Lenovo V14 G4 ,i7 1355U ,16,512,NULL
50,Lenovo V15 G4 IRU ,i5 1335U ,16,512,NULL
51,Lenovo V15 G5 IRL ,Core 5 120U ,16,512,NULL
52,Lenovo Yoga Slim 7 14IMH9 ,Ultra 7 155H ,32,1024,NULL
53,Masstel Fami 50 4G,NULL,NULL,NULL,"QQVGA 2"""""
54,Masstel Fami 60S 4G,NULL,NULL,NULL,"QVGA 2"""""
55,Masstel IZI 10 4G,NULL,NULL,NULL,"QQVGA 1.77"""""
56,Masstel IZI T6 4G,NULL,NULL,NULL,"QVGA 2.4"""""
57,Masstel Lux 10,NULL,NULL,NULL,"QVGA 2.4"""""
58,Mobell ,NULL,NULL,NULL,"QVGA 2.8"""""
59,Mobell ,NULL,NULL,NULL,"QVGA 2.4"""""
60,Mobell ,NULL,NULL,NULL,"QQVGA 1.77"""""
61,Mobell F209 4G,NULL,NULL,NULL,"QVGA 2"""""
62,Mobell F309 4G,NULL,NULL,NULL,"QVGA 2.31"""""
63,Mobell Rock 4 4G,NULL,NULL,NULL,"QVGA 2.4"""""
64,Nokia 105,NULL,NULL,NULL,"QQVGA 1.8"""""
65,Nokia 105 4G Pro,NULL,NULL,NULL,"QQVGA 1.77"""""
