name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
iPhone 16 Pro Max,iPhone (Apple),"Super Retina XDR 6.9""",,34.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-16-pro-max
iPhone 16 Pro,iPhone (Apple),"Super Retina XDR 6.3""",,28.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-16-pro
iPhone 16 Plus,iPhone (Apple),"Super Retina XDR 6.7""",,25.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-16-plus
iPhone 16,iPhone (Apple),"Super Retina XDR 6.1""",22.990.000₫,22.290.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-16
iPhone 15 Pro Max,iPhone (Apple),"Super Retina XDR 6.7""",34.990.000₫,29.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-15-pro-max
Xiaomi 14T 5GMẫu mới,Xiaomi,"1.5K 6.67""",,12.990.000₫,Quà1.000.000₫,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-14t-5g
Xiaomi 14T Pro 5GMẫu mới,Xiaomi,"1.5K 6.67""",,16.990.000₫,Quà1.500.000₫,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb
OPPO Reno12 Pro 5G 12GB/512GB,OPPO,"Full HD+ 6.7""",,18.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-pro
iPhone 15 Pro,iPhone (Apple),"Super Retina XDR 6.1""",31.990.000₫,28.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/iphone-15-pro-256gb
Xiaomi Redmi Note 13,Xiaomi,"Full HD+ 6.67""",5.290.000₫,4.690.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
Samsung Galaxy A55 5G,Samsung,"Full HD+ 6.6""",11.990.000₫,11.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
OPPO Reno12 F 8GB/256GB,OPPO,"Full HD+ 6.67""",,8.490.000₫,Quà300.000₫,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb
