name,brand,ram,ssd,old_price,current_price,gift,total_rating,avg_score,link
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),Lenovo,RAM 16 GB,SSD 512 GB,15.990.000₫,14.390.000₫,Quà1.090.000₫,11,4.5,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),Asus,RAM 16 GB,SSD 512 GB,14.490.000₫,12.490.000₫,Quà1.090.000₫,31,4.0,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w
Dell Inspiron 15 3520 i5 1235U,Dell,RAM 16 GB,SSD 512 GB,16.990.000₫,16.490.000₫,Quà100.000₫,13,4.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-25p231?utm_flashsale=1
HP 245 G10 R5 7530U (A20TDPT),HP,RAM 8 GB,SSD 512 GB,14.590.000₫,12.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt
Acer Aspire 3 A315 510P 32EF i3 N305 (NX.KDHSV.001),Acer,RAM 8 GB,SSD 256 GB,9.990.000₫,8.990.000₫,Quà1.090.000₫,26,4.5,https://www.thegioididong.com/laptop/acer-aspire-3-a315-510p-32ef-i3-nxkdhsv001
Lenovo LOQ Gaming 15IAX9 i5 12450HX (83GS000JVN),Lenovo,RAM 16 GB,SSD 512 GB,24.990.000₫,21.690.000₫,Quà1.090.000₫,5,4.0,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),Asus,RAM 8 GB,SSD 512 GB,12.290.000₫,10.690.000₫,Quà1.090.000₫,10,4.0,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w
HP 240 G8 i3 1115G4 (6L1A2PA),HP,RAM 8 GB,SSD 512 GB,12.790.000₫,9.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a2pa
MacBook Air 13 inch M1,MacBook,RAM 8 GB,SSD 256 GB,19.990.000₫,19.490.000₫,Quà500.000₫,210,4.0,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),HP,RAM 16 GB,SSD 512 GB,20.990.000₫,17.490.000₫,Quà1.090.000₫,30,4.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa
HP 15 fd0234TU i5 1334U (9Q969PA),HP,RAM 16 GB,SSD 512 GB,19.790.000₫,17.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),Dell,RAM 16 GB,SSD 512 GB,16.990.000₫,16.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1
Asus Vivobook X1404ZA i5 1235U (NK376W),Asus,RAM 16 GB,SSD 512 GB,16.490.000₫,14.590.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i5-nk376w
Acer Aspire Lite 15 51M 55NB i5 1155G7 (NX.KRSSV.001),Acer,RAM 8 GB,SSD 512 GB,12.990.000₫,11.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-55nb-i5-nxkrssv001
MacBook Air 13 inch M2 2022 8-core CPU,MacBook,RAM 8 GB,SSD 256 GB,27.090.000₫,26.290.000₫,Quà2.100.000₫,77,5.0,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W),Asus,RAM 16 GB,SSD 1 TB,25.990.000₫,21.390.000₫,Quà1.090.000₫,13,4.0,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn229w
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),Acer,RAM 16 GB,SSD 512 GB,20.490.000₫,17.990.000₫,Quà1.090.000₫,23,4.0,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),Acer,RAM 16 GB,SSD 512 GB,14.990.000₫,14.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),Lenovo,RAM 16 GB,SSD 512 GB,13.990.000₫,12.690.000₫,Quà1.090.000₫,3,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn
HP 15 fd0303TU i3 1315U (A2NL4PA),HP,RAM 8 GB,SSD 512 GB,13.490.000₫,11.790.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa
HP 15s fq5229TU i3 1215U (8U237PA),HP,RAM 8 GB,SSD 512 GB,13.690.000₫,10.790.000₫,Quà1.090.000₫,18,4.0,https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa
Asus Vivobook X1404ZA i3 1215U (NK246W),Asus,RAM 8 GB,SSD 512 GB,11.990.000₫,10.490.000₫,Quà1.090.000₫,6,3.0,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w
HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA),HP,RAM 16 GB,SSD 512 GB,25.490.000₫,18.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-15-fb1022ax-r5-94f19pa
Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W),Asus,RAM 16 GB,SSD 512 GB,20.990.000₫,17.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nf-r5-hn012w
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),Asus,RAM 16 GB,SSD 512 GB,19.990.000₫,17.790.000₫,Quà1.090.000₫,21,4.0,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w
Asus Vivobook 15 OLED A1505ZA i5 12500H (L1337W),Asus,RAM 16 GB,SSD 512 GB,18.990.000₫,17.290.000₫,Quà1.090.000₫,11,4.0,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w
HP 240 G9 i5 1235U (6L1Y2PA),HP,RAM 8 GB,SSD 512 GB,18.590.000₫,14.990.000₫,Quà1.090.000₫,53,4.0,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y2pa
Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H (NH.QFHSV.003),Acer,RAM 8 GB,SSD 512 GB,31.790.000₫,22.490.000₫,Quà1.890.000₫,8,4.0,https://www.thegioididong.com/laptop/acer-nitro-5-an515-58-769j-i7-nhqfhsv003
Asus TUF Gaming A15 FA506NC R5 7535HS (HN017W),Asus,RAM 16 GB,SSD 512 GB,22.990.000₫,19.790.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nc-r5-hn017w
Dell Vostro 15 3520 i5 1235U (i5U165W11GRU),Dell,RAM 16 GB,SSD 512 GB,16.990.000₫,16.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-i5u165w11gru?utm_flashsale=1
Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),Lenovo,RAM 16 GB,SSD 1 TB,18.490.000₫,16.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn
