name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
Lenovo Tab Plus WiFi 8GB/256GB,Lenovo,"IPS LCD 11.5""",7.990.000₫,6.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-plus-wifi-8gb-256gb
TCL Tab 10 Gen 2 4G 4GB/64GB,TCL,"IPS LCD 10.36""",3.790.000₫,3.090.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10-gen-2
Samsung Galaxy Tab S9 WiFi 8GB/128GB,Samsung,"Dynamic AMOLED 2X 11""",19.990.000₫,14.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9
Samsung Galaxy Tab S9 5G 8GB/128GB,Samsung,"Dynamic AMOLED 2X 11""",22.990.000₫,16.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-128gb
Lenovo Tab M9 4G 4GB/64GB,Lenovo,"IPS LCD 9""",,4.390.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m9?utm_flashsale=1
Samsung Galaxy Tab S9 5G 12GB/256GB,Samsung,"Dynamic AMOLED 2X 11""",24.990.000₫,19.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-256gb
Samsung Galaxy Tab S9 WiFi 12GB/256GB,Samsung,"Dynamic AMOLED 2X 11""",21.990.000₫,17.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-wifi-256gb
Lenovo Tab M11 4G 8GB/128GB,Lenovo,"IPS LCD 10.95""",6.690.000₫,6.390.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g-8gb-128gb
Lenovo Tab M11 4G 4GB/64GB,Lenovo,"IPS LCD 10.95""",5.790.000₫,5.390.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g-4gb-64gb
Lenovo Tab M11 4G 4GB/128GB,Lenovo,"IPS LCD 10.95""",6.190.000₫,5.190.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g
Lenovo Tab M11 WiFi 4GB/128GB,Lenovo,"IPS LCD 10.95""",5.790.000₫,4.790.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-wifi?utm_flashsale=1
Lenovo Tab M9 WiFi 4GB/64GB,Lenovo,"IPS LCD 9""",3.790.000₫,2.790.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m9-wifi-4gb-64gb
TCL Tab 10L Gen 2 WiFi 3GB/32GB,TCL,"IPS LCD 10.1""",2.290.000₫,1.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10l-gen-2
