name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
vivo Y28,vivo,"6.68 "" HD+",,5.790.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/dtdd/vivo-y28
iPhone 15 Pro Max,iPhone (Apple),"6.7"" Super Retina XDR",34.990.000₫,29.290.000₫,,156,4.0,https://www.thegioididong.com/dtdd/iphone-15-pro-max
Samsung Galaxy S23 Ultra 5G,Samsung,"6.8"" Quad HD+ (2K+)",24.990.000₫,23.990.000₫,,134,4.5,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
OPPO Reno11 F 5G,OPPO,"6.7"" Full HD+",8.990.000₫,8.490.000₫,,24,3.5,https://www.thegioididong.com/dtdd/oppo-reno11-f-5g
Xiaomi Redmi 13,Xiaomi,"6.79"" Full HD+",4.290.000₫,4.090.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb
Xiaomi Redmi Note 13,Xiaomi,"6.67"" Full HD+",,5.290.000₫,Quà300.000₫,152,3.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
realme C65,realme,"6.67"" HD+",,4.790.000₫,,7,4.0,https://www.thegioididong.com/dtdd/realme-c65
Samsung Galaxy A55 5G,Samsung,"6.6"" Full HD+",11.990.000₫,11.490.000₫,,30,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
iPhone 13,iPhone (Apple),"6.1"" Super Retina XDR",17.790.000₫,14.190.000₫,,541,4.0,https://www.thegioididong.com/dtdd/iphone-13
Samsung Galaxy M35 5G 8GB/256GB,Samsung,"6.6"" Full HD+",8.790.000₫,8.290.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g
Xiaomi Redmi Note 13 Pro,Xiaomi,"6.67"" Full HD+",,7.290.000₫,Quà400.000₫,33,3.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
Samsung Galaxy M55 5G,Samsung,"6.7"" Full HD+",12.690.000₫,11.690.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m55-5g-12gb-256gb
OPPO A58,OPPO,"6.72"" Full HD+",,5.490.000₫,,76,4.0,https://www.thegioididong.com/dtdd/oppo-a58-4g
Samsung Galaxy M54 5G 8GB/256GB,Samsung,"6.7"" Full HD+",,8.990.000₫,,41,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
realme Note 50,realme,"6.74"" HD+",,2.490.000₫,,20,4.0,https://www.thegioididong.com/dtdd/realme-note-50-64gb
Samsung Galaxy S23 FE 5G,Samsung,"6.4"" Full HD+",14.890.000₫,12.890.000₫,,58,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe
Samsung Galaxy A35 5G,Samsung,"6.6"" Full HD+",9.290.000₫,8.490.000₫,,11,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
vivo Y36,vivo,"Full HD+ 6.64""",,5.190.000₫,,16,4.0,https://www.thegioididong.com/dtdd/vivo-y36-128gb
OPPO A18,OPPO,"6.56"" HD+",,3.290.000₫,Quà100.000₫,23,4.0,https://www.thegioididong.com/dtdd/oppo-a18
Xiaomi Redmi 13C,Xiaomi,"6.74"" HD+",3.090.000₫,2.890.000₫,,67,4.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-13c
Samsung Galaxy S24 Ultra 5G,Samsung,"6.8"" Quad HD+ (2K+)",33.990.000₫,29.990.000₫,,45,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
iPhone 15 Pro,iPhone (Apple),"6.1"" Super Retina XDR",28.990.000₫,25.190.000₫,,32,4.5,https://www.thegioididong.com/dtdd/iphone-15-pro
Xiaomi Redmi A3,Xiaomi,"6.71"" HD+",,2.490.000₫,,6,4.5,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3
iPhone 15 Plus,iPhone (Apple),"6.7"" Super Retina XDR",25.990.000₫,22.790.000₫,,37,4.0,https://www.thegioididong.com/dtdd/iphone-15-plus
iPhone 15,iPhone (Apple),"6.1"" Super Retina XDR",22.990.000₫,19.790.000₫,,43,4.0,https://www.thegioididong.com/dtdd/iphone-15
vivo Y100,vivo,"6.67"" Full HD+",,7.690.000₫,,9,4.0,https://www.thegioididong.com/dtdd/vivo-y100
Samsung Galaxy S24 5G,Samsung,"6.2"" Full HD+",22.990.000₫,20.990.000₫,,13,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
vivo Y03,vivo,"6.56"" HD+",,3.290.000₫,,6,4.0,https://www.thegioididong.com/dtdd/vivo-y03
OPPO Reno12 Pro 5G 12GB/512GB,OPPO,"6.7"" Full HD+",,18.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-pro
OPPO Reno12 5G 12GB/256GB Hồng,OPPO,"6.7"" Full HD+",,12.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong
OPPO Reno12 5G,OPPO,"6.7"" Full HD+",,12.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb
OPPO Reno12 F 5G,OPPO,"6.67"" Full HD+",,9.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
Samsung Galaxy S24+ 5G,Samsung,"6.7"" Quad HD+ (2K+)",26.990.000₫,24.990.000₫,,10,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
OPPO Reno11 5G 8GB/256GB,OPPO,"6.7"" Full HD+",,10.990.000₫,Quà500.000₫,68,3.0,https://www.thegioididong.com/dtdd/oppo-reno11
realme C55,realme,"6.72"" Full HD+",,4.990.000₫,,194,4.0,https://www.thegioididong.com/dtdd/realme-c55
iPhone 11,iPhone (Apple),"6.1"" Liquid Retina",11.790.000₫,8.790.000₫,,867,4.0,https://www.thegioididong.com/dtdd/iphone-11
realme C67,realme,"6.72"" Full HD+",5.290.000₫,5.090.000₫,,20,4.0,https://www.thegioididong.com/dtdd/realme-c67
realme 11 8GB/256GB,realme,"6.4"" Full HD+",,7.990.000₫,,14,4.0,https://www.thegioididong.com/dtdd/realme-11
iPhone 12,iPhone (Apple),"6.1"" Super Retina XDR",13.090.000₫,11.990.000₫,,332,4.0,https://www.thegioididong.com/dtdd/iphone-12
realme C53,realme,"6.74"" HD+",4.290.000₫,4.090.000₫,,556,4.0,https://www.thegioididong.com/dtdd/realme-c53
iPhone 14 Pro Max,iPhone (Apple),"6.7"" Super Retina XDR",29.490.000₫,26.990.000₫,,446,4.0,https://www.thegioididong.com/dtdd/iphone-14-pro-max
OPPO A38,OPPO,"6.56"" HD+",,4.490.000₫,Quà200.000₫,22,4.0,https://www.thegioididong.com/dtdd/oppo-a38-6gb
vivo Y17s,vivo,"6.56"" HD+",,3.990.000₫,,38,4.0,https://www.thegioididong.com/dtdd/vivo-y17s
OPPO Reno11 Pro 5G 12GB/512GB,OPPO,"6.7"" Full HD+",,16.990.000₫,Quà500.000₫,7,5.0,https://www.thegioididong.com/dtdd/oppo-reno11-pro
Samsung Galaxy A34 5G 8GB/256GB,Samsung,"6.6"" Full HD+",9.490.000₫,8.290.000₫,,146,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a34
Samsung Galaxy A25 5G,Samsung,"6.5"" Full HD+",6.990.000₫,6.690.000₫,,28,3.5,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
Samsung Galaxy A15 5G 8GB/256GB,Samsung,"6.5"" Full HD+",6.290.000₫,5.690.000₫,,48,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
Samsung Galaxy A15,Samsung,"6.5"" Full HD+",5.590.000₫,5.190.000₫,,53,3.5,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-256gb
Samsung Galaxy A24,Samsung,"6.5"" Full HD+",5.890.000₫,5.090.000₫,,81,4.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a24
Samsung Galaxy A05s,Samsung,"6.7"" Full HD+",4.490.000₫,4.090.000₫,,57,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
Samsung Galaxy A05,Samsung,"6.7"" HD+",3.490.000₫,3.290.000₫,,92,3.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a05
OPPO Reno10 5G 8GB/256GB,OPPO,"6.7"" Full HD+",10.990.000₫,8.490.000₫,,80,4.0,https://www.thegioididong.com/dtdd/oppo-reno10
