name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
iPad Air 6 M2 11 inch WiFi,iPad (Apple),"Retina IPS LCD 11""",,16.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-128gb
iPad Pro M4 11 inch WiFi,iPad (Apple),"Ultra Retina XDR 11""",,28.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-11-inch-wifi-256gb
TCL Tab 10L Gen 2 WiFi 3GB/32GB,TCL,"IPS LCD 10.1""",2.290.000₫,2.090.000₫,,15,4.0,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10l-gen-2
TCL Tab 10 Gen 2 4G 4GB/64GB,TCL,"IPS LCD 10.36""",3.790.000₫,3.290.000₫,,9,4.0,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10-gen-2
Samsung Galaxy Tab A9,Samsung,"TFT LCD 8.7""",5.490.000₫,4.290.000₫,,11,4.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-4g
iPad Air 6 M2 13 inch WiFi,iPad (Apple),"Retina IPS LCD 13""",,22.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-128gb
Samsung Galaxy Tab A9+,Samsung,"TFT LCD 11""",7.490.000₫,6.690.000₫,,16,4.0,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-5g
iPad Pro M4 13 inch WiFi,iPad (Apple),"Ultra Retina XDR 13""",,37.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-256gb
OPPO Pad Neo WiFi 6GB/128GB,OPPO,"IPS LCD 11.4""",,6.990.000₫,,4,4.0,https://www.thegioididong.com/may-tinh-bang/oppo-pad-neo-6gb
HONOR Pad X9 WiFi 4GB/128GB,HONOR,"TFT LCD 11.5""",4.990.000₫,4.090.000₫,,27,5.0,https://www.thegioididong.com/may-tinh-bang/honor-pad-x9
Xiaomi Redmi Pad Pro WiFi 6GB/128GB,Xiaomi,"IPS LCD 12.1""",7.290.000₫,6.790.000₫,,3,5.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-6gb-128gb
iPad Air 6 M2 13 inch 5G,iPad (Apple),"Retina IPS LCD 13""",,26.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-cellular-128gb
"Masstel Tab 10.1"" 4G 3GB/32GB",Masstel,"IPS LCD 10.1""",2.990.000₫,1.890.000₫,,30,4.0,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10-1
Xiaomi POCO Pad WiFi 8GB/256GB,Xiaomi,"IPS LCD 12.1""",8.690.000₫,7.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-poco-pad-8-256gb
iPad Pro M4 11 inch 5G,iPad (Apple),"Ultra Retina XDR 11""",,34.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-11-inch-wifi-cellular-256gb
Xiaomi Redmi Pad Pro WiFi 8GB/256GB,Xiaomi,"IPS LCD 12.1""",8.990.000₫,8.490.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-8gb-256gb
iPad Pro M4 13 inch 5G,iPad (Apple),"Ultra Retina XDR 13""",,48.990.000₫,,0,0.0,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-cellular-512gb
iPad 10 WiFi,iPad (Apple),"Retina IPS LCD 10.9""",11.490.000₫,10.290.000₫,,85,4.5,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10
Samsung Galaxy Tab S9 FE WiFi series,Samsung,"TFT LCD 10.9""",9.990.000₫,8.990.000₫,,13,4.5,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-fe
iPad 9 WiFi,iPad (Apple),"Retina IPS LCD 10.2""",8.390.000₫,7.490.000₫,,239,4.5,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9
iPad Air 5 M1 Wifi,iPad (Apple),"Retina IPS LCD 10.9""",15.590.000₫,14.090.000₫,,53,5.0,https://www.thegioididong.com/may-tinh-bang/ipad-air-5
Lenovo Tab M10 4G 3GB/32GB,Lenovo,"IPS LCD 10.1""",5.290.000₫,3.190.000₫,,13,4.0,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m10-gen-3
Xiaomi Redmi Pad SE WiFi 4GB/128GB,Xiaomi,"IPS LCD 11""",4.490.000₫,4.190.000₫,,30,4.0,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-4gb
